"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta1[26]",1805.17580955952,1797.96,1820.88224381422,15318.3,0.95,224.809,3421.6,NA,NA,NA,NA,NA,NA,NA
"beta1[27]",1695.21455670806,1714.64,1717.48872060296,13894.9,0.95,23.1755,3196.84,NA,NA,NA,NA,NA,NA,NA
"beta1[28]",1756.49941162587,1762.66,1783.2625500727,15845.3,0.95,190.539,3389.36,NA,NA,NA,NA,NA,NA,NA
"beta1[29]",1902.33189318749,1863.16,1861.86147347778,14998.5,0.95,394.807,3612.89,NA,NA,NA,NA,NA,NA,NA
"beta1[30]",2302.23593160287,2133.85,1868.99680003244,5911.3,0.95,735.365,4237.87,NA,NA,NA,NA,NA,NA,NA
"beta1[31]",2287.61075564022,2121.29,1885.76008367354,6283,0.95,750.764,4256.2,NA,NA,NA,NA,NA,NA,NA
"beta1[32]",1845.87540722569,1819.67,1791.08689218623,13275.8,0.95,224.351,3402.38,NA,NA,NA,NA,NA,NA,NA
"beta1[33]",2072.52897651767,1969.63,1842.09316919194,9646.4,0.95,543.816,3821.77,NA,NA,NA,NA,NA,NA,NA
"beta1[34]",1441.51803625938,1540.1,1687.08433784358,9715.8,0.95,-320.44,2973.09,NA,NA,NA,NA,NA,NA,NA
"beta1[35]",1444.9813650057,1553.4,1695.87680913648,11078.1,0.95,-452.588,3034.97,NA,NA,NA,NA,NA,NA,NA
"beta1[36]",1964.21894550472,1901.91,1860.69751865897,11576.7,0.95,409.096,3615.1,NA,NA,NA,NA,NA,NA,NA
"beta1[37]",1466.60320424549,1556.72,1743.30729744609,10311.5,0.95,-297.592,2941.25,NA,NA,NA,NA,NA,NA,NA
"beta1[38]",1779.62005586716,1773.35,1799.42569744985,15497.1,0.95,252.657,3421.63,NA,NA,NA,NA,NA,NA,NA
"beta1[39]",1837.86704314839,1817.74,1818.46655897347,15505.5,0.95,219.069,3442.67,NA,NA,NA,NA,NA,NA,NA
"beta1[40]",1675.54114222519,1708.45,1779.57864270533,16147.5,0.95,64.5137,3297.27,NA,NA,NA,NA,NA,NA,NA
"beta1[41]",1822.24233626369,1806.13,1816.37701777832,14603.5,0.95,141.869,3411.88,NA,NA,NA,NA,NA,NA,NA
"beta1[42]",1591.73920687401,1652.77,1820.28896612722,13280,0.95,-126.916,3092.03,NA,NA,NA,NA,NA,NA,NA
"beta1[43]",1527.05775990605,1602.03,1749.37731712121,11035.1,0.95,-164.467,3038.32,NA,NA,NA,NA,NA,NA,NA
"beta1[44]",1645.96169498786,1686.55,1735.10044505895,14503.2,0.95,-39.429,3183.75,NA,NA,NA,NA,NA,NA,NA
"beta1[45]",1313.50251774051,1449.23,1708.36892117107,8182.6,0.95,-557.161,2803.15,NA,NA,NA,NA,NA,NA,NA
"beta1[46]",2345.35854749635,2180.87,1882.505363755,5700.9,0.95,877.643,4379.92,NA,NA,NA,NA,NA,NA,NA
"beta1[47]",1647.0881630372,1689.31,1798.25339429324,15256.9,0.95,-90.2391,3315.54,NA,NA,NA,NA,NA,NA,NA
"beta1[48]",2022.72669569822,1934.12,1873.10906882745,10151.6,0.95,489.322,3746.57,NA,NA,NA,NA,NA,NA,NA
"beta1[49]",1560.34768087001,1628.62,1750.91305887362,11752.4,0.95,-156.787,3062.75,NA,NA,NA,NA,NA,NA,NA
"beta1[50]",1665.5475390521,1697.7,1752.00341344973,15865.7,0.95,48.2732,3255.06,NA,NA,NA,NA,NA,NA,NA
"beta1[51]",1559.28543326021,1619.14,1738.67793691747,12843.9,0.95,-194.913,3087.81,NA,NA,NA,NA,NA,NA,NA
